Year,Grand Prix,Track Length (m),Max Speed (km/h),Full Throttle (%),Number of Corners,Number of Straights,
2023,Abu Dhabi Grand Prix,0.12422642016917305,0.33441124254649535,0.4739549939369202,-0.789651318,-0.037810735,
2022,Pre-Season Track Session,0.8437881016099523,-1.991006662,-1.262330691,0.7542937960482531,-0.488102216,
2022,Pre-Season Test,0.39516662617371107,-0.265696604,-0.645836813,0.7542937960482531,0.8627722270020034,
2022,Bahrain Grand Prix,0.2833005247890429,-0.490737046,0.17817857935793804,0.23964542478616382,0.41248074597705336,
2022,Saudi Arabian Grand Prix,1.1795086420471137,0.7844921272066733,1.2229834741443362,-0.789651318,-1.388685178,
2022,Australian Grand Prix,0.12432274828244688,-0.790790969,1.0449482319621248,-0.789651318,-0.938393697,
2022,Emilia Romagna Grand Prix,-0.307634537,-1.465912296,0.4433006211015459,-0.275002946,-0.037810735,
2022,Miami Grand Prix,0.26158473194255416,0.8595056079833695,-0.854664119,1.2689421673103425,-0.037810735,
2022,Spanish Grand Prix,-0.603805485,-0.490737046,-0.509939039,-0.789651318,0.41248074597705336,
2022,Monaco Grand Prix,-2.278756629,-2.891168431,-2.064885342,2.298238909834521,0.8627722270020034,
2022,Azerbaijan Grand Prix,1.0091115293239696,0.7094786464299769,0.20471210392538586,2.298238909834521,1.7633551890519035,
2022,Canadian Grand Prix,-1.008843225,-1.390898815,-1.206479775,0.23964542478616382,0.41248074597705336,
2022,British Grand Prix,0.8437881016099523,-1.991006662,-1.262330691,0.7542937960482531,-0.488102216,
2022,Austrian Grand Prix,-1.028177602,-0.190683123,0.6229719236502724,-0.789651318,-0.938393697,
2022,French Grand Prix,0.7892916061117158,0.48443820409988797,-0.064031678,-0.275002946,-0.037810735,
2022,Hungarian Grand Prix,-0.978768022,-0.940817931,-0.818802269,-0.789651318,0.41248074597705336,
2022,Belgian Grand Prix,2.2066126771049883,1.1595595310901547,0.5718060107329055,-0.275002946,-0.938393697,
2022,Dutch Grand Prix,-1.123647751,0.1843842809931027,-0.241713212,-0.789651318,-0.037810735,
2022,Italian Grand Prix,0.7743409989531287,1.3845999734202437,1.410312632407478,-0.789651318,-1.388685178,
2022,Singapore Grand Prix,-0.14664755,-2.366074065,-3.117164649,3.3275356523586996,3.5645211131517036,
2022,Japanese Grand Prix,0.7985361540198218,0.48443820409988797,0.23115174638677125,0.23964542478616382,-0.938393697,
2022,United States Grand Prix,0.39516662617371107,-0.265696604,-0.645836813,0.7542937960482531,0.8627722270020034,
2022,Mexico City Grand Prix,-1.0933267,1.8346808580804217,-1.766867423,1.2689421673103425,0.41248074597705336,
2022,São Paulo Grand Prix,-1.097585474,0.40942472332319163,-0.558347067,-0.275002946,-0.488102216,
2022,Abu Dhabi Grand Prix,0.1018743665340564,0.1843842809931027,0.1923736353752271,-0.789651318,-0.037810735,
2019,Australian Grand Prix,0.18800959493151972,-0.340710084,1.024205484447418,-0.789651318,-0.938393697,
2019,Bahrain Grand Prix,0.312410764,0.259397762,0.30336591295986776,0.23964542478616382,0.41248074597705336,
2019,Chinese Grand Prix,0.37520448378856536,-0.340710084,-0.306540183,1.2689421673103425,-0.037810735,
2019,Azerbaijan Grand Prix,1.0150386720634568,0.48443820409988797,0.20529027899436111,1.2689421673103425,1.7633551890519035,
2019,Spanish Grand Prix,-0.625821904,-0.340710084,0.36732595582163347,-0.275002946,-0.037810735,
2019,Monaco Grand Prix,-2.248048008,-2.516101027,-2.031326614,2.298238909834521,0.8627722270020034,
2019,Canadian Grand Prix,-0.973548303,0.7094786464299769,0.038487225,-0.275002946,0.41248074597705336,
2019,French Grand Prix,0.7865056271136837,1.1595595310901547,0.063013113,-0.275002946,-0.037810735,
2019,Austrian Grand Prix,-0.988158502,0.40942472332319163,1.1058346256177605,-0.789651318,-0.938393697,
2019,British Grand Prix,0.8772866004330342,0.259397762,1.1034202425619324,-0.789651318,-0.488102216,
2019,German Grand Prix,-0.669605378,0.034357319,0.5168357189423706,-0.789651318,-0.488102216,
2019,Hungarian Grand Prix,-0.933203097,-0.940817931,-0.228889292,-0.789651318,0.41248074597705336,
2019,Belgian Grand Prix,2.247414977464179,1.5346269349736363,0.2897330491924598,-0.275002946,-0.938393697,
2019,Italian Grand Prix,0.7977905555247602,2.2097482619639033,1.2145646416395253,-0.789651318,-1.388685178,
2019,Singapore Grand Prix,-0.122735399,-0.190683123,-1.819874382,0.7542937960482531,3.1142296321267535,
2019,Russian Grand Prix,0.8553455394828985,0.40942472332319163,0.45554623162065916,-1.304299689,0.41248074597705336,
2019,Japanese Grand Prix,0.8298033299805881,0.6344651656532806,0.6033880621817941,0.23964542478616382,-1.388685178,
2019,Mexican Grand Prix,-1.06639263,1.909694338857118,-1.30304279,1.2689421673103425,0.41248074597705336,
2019,United States Grand Prix,0.4119061396316092,0.034357319,-0.150353655,1.2689421673103425,0.41248074597705336,
2019,Brazilian Grand Prix,-1.065940124,0.6344651656532806,-0.021611646,-0.789651318,-0.488102216,
2019,Abu Dhabi Grand Prix,0.46006343356011803,-0.115669642,-0.384598521,0.23964542478616382,1.7633551890519035,
2018,Australian Grand Prix,0.17968741502650332,-0.340710084,0.6041924626481253,-0.275002946,-0.488102216,
2018,Bahrain Grand Prix,0.3160142160342648,0.034357319,0.1946110928408194,0.23964542478616382,0.41248074597705336,
2018,Chinese Grand Prix,0.3765936175896964,0.40942472332319163,-0.278061608,1.2689421673103425,-0.037810735,
2018,Azerbaijan Grand Prix,1.0295307113411252,0.40942472332319163,-0.080836721,2.8128872810966103,1.7633551890519035,
2018,Spanish Grand Prix,-0.629819254,-0.115669642,-0.269143813,-0.275002946,-0.037810735,
2018,Monaco Grand Prix,-2.234383427,-2.516101027,-2.255521451,2.298238909834521,0.8627722270020034,
2018,Canadian Grand Prix,-0.959641835,0.10937080021640638,0.22562084516747535,-0.275002946,0.41248074597705336,
2018,French Grand Prix,0.8090158662855889,0.48443820409988797,-0.311401601,-0.275002946,-0.037810735,
2018,Austrian Grand Prix,-0.997648108,0.259397762,0.8182319114130564,-0.789651318,-0.938393697,
2018,British Grand Prix,0.8801915034516614,-0.190683123,0.6699274301098729,-0.789651318,-0.488102216,
2018,German Grand Prix,-0.675337353,0.1843842809931027,0.40685993412628585,-0.789651318,-0.488102216,
2018,Hungarian Grand Prix,-0.953321472,0.1843842809931027,-1.324161964,-0.789651318,0.8627722270020034,
2018,Belgian Grand Prix,2.268339701743544,0.7844921272066733,0.8632252244300754,-0.275002946,-0.938393697,
2018,Italian Grand Prix,0.8082789092058649,1.684653896527029,1.6582512642064065,-0.789651318,-1.388685178,
2018,Singapore Grand Prix,-0.126996255,-0.190683123,-2.025777617,0.7542937960482531,3.5645211131517036,
2018,Russian Grand Prix,0.8445574327186918,0.10937080021640638,0.4288655737896309,-0.789651318,-0.037810735,
2018,Japanese Grand Prix,0.8286074534610057,0.1843842809931027,0.008680313,0.23964542478616382,-0.938393697,
2018,United States Grand Prix,0.4157976600820389,0.10937080021640638,-0.193855451,1.7835905385724318,0.8627722270020034,
2018,Mexican Grand Prix,-1.063058299,1.3845999734202437,-1.156767458,0.7542937960482531,0.41248074597705336,
2018,Brazilian Grand Prix,-1.061745339,0.7094786464299769,-0.034203791,-0.275002946,-0.488102216,
2018,Abu Dhabi Grand Prix,0.4712844159397268,0.10937080021640638,-0.410607496,0.23964542478616382,1.7633551890519035,
