,Year,Round,RaceName,DriverID,Lap,Stop,Time,Duration
0,0.0,0.0,Australian Grand Prix,alguersuari,0.0,0.0,0.0,0.45164973553857773
1,0.0,0.0,Australian Grand Prix,michael_schumacher,0.0,0.0,0.0,0.4201326504911426
2,0.0,0.0,Australian Grand Prix,webber,0.12987012987012986,0.0,0.0,0.3933506842414574
3,0.0,0.0,Australian Grand Prix,alonso,0.14285714285714282,0.0,0.0,0.3904122239946268
4,0.0,0.0,Australian Grand Prix,massa,0.1558441558441558,0.0,0.0,0.40033582402820916
5,0.0,0.0,Australian Grand Prix,barrichello,0.1558441558441558,0.0,0.0,0.3969943749475275
6,0.0,0.0,Australian Grand Prix,vettel,0.1688311688311688,0.0,0.0,0.37953152548064817
7,0.0,0.0,Australian Grand Prix,resta,0.1688311688311688,0.0,0.0,0.4174796406682898
8,0.0,0.0,Australian Grand Prix,ambrosio,0.1688311688311688,0.0,0.0,0.4241289564268323
9,0.0,0.0,Australian Grand Prix,buemi,0.1818181818181818,0.0,0.0,0.4255226261439006
10,0.0,0.0,Australian Grand Prix,heidfeld,0.1818181818181818,0.0,0.0,0.3860968852321383
11,0.0,0.0,Australian Grand Prix,hamilton,0.19480519480519476,0.0,0.0,0.39000923516077574
12,0.0,0.0,Australian Grand Prix,petrov,0.19480519480519476,0.0,0.0,0.4119721266056586
13,0.0,0.0,Australian Grand Prix,rosberg,0.19480519480519476,0.0,0.0,0.39822013265049117
14,0.0,0.0,Australian Grand Prix,kobayashi,0.19480519480519476,0.0,0.0,0.40406347074133153
15,0.0,0.0,Australian Grand Prix,sutil,0.19480519480519476,0.0,0.0,0.4362018302409537
16,0.0,0.0,Australian Grand Prix,trulli,0.19480519480519476,0.0,0.0,0.4180841239190664
17,0.0,0.0,Australian Grand Prix,button,0.20779220779220775,0.0,0.0,0.2832171941902443
18,0.0,0.0,Australian Grand Prix,alguersuari,0.20779220779220775,0.16666666666666669,0.0,0.4107631601041054
19,0.0,0.0,Australian Grand Prix,kovalainen,0.20779220779220775,0.0,0.0,0.4175132230711107
20,0.0,0.0,Australian Grand Prix,michael_schumacher,0.20779220779220775,0.16666666666666669,0.0,0.40278733943413647
21,0.0,0.0,Australian Grand Prix,glock,0.22077922077922074,0.0,0.0,0.39949626395768617
22,0.0,0.0,Australian Grand Prix,button,0.23376623376623373,0.16666666666666669,0.0,0.3912853664679708
23,0.0,0.0,Australian Grand Prix,perez,0.2857142857142857,0.0,0.0,0.393552178658383
24,0.0,0.0,Australian Grand Prix,barrichello,0.2857142857142857,0.16666666666666669,0.0,0.6356477205944084
25,0.0,0.0,Australian Grand Prix,webber,0.3246753246753246,0.16666666666666669,0.0,0.3781378557635799
26,0.0,0.0,Australian Grand Prix,alonso,0.3376623376623376,0.16666666666666669,0.0,0.41529678448492985
27,0.0,0.0,Australian Grand Prix,barrichello,0.3506493506493506,0.3333333333333334,0.0,0.28363697422550577
28,0.0,0.0,Australian Grand Prix,buemi,0.3636363636363636,0.16666666666666669,0.0,0.3878767525816472
29,0.0,0.0,Australian Grand Prix,heidfeld,0.3766233766233765,0.16666666666666669,0.0,0.4214255729997481
30,0.0,0.0,Australian Grand Prix,massa,0.3896103896103895,0.16666666666666669,0.0,0.4113844345562925
31,0.0,0.0,Australian Grand Prix,kobayashi,0.4025974025974025,0.16666666666666669,0.0,0.4062127445218705
32,0.0,0.0,Australian Grand Prix,vettel,0.4545454545454545,0.16666666666666669,0.0,0.4035933171018386
33,0.0,0.0,Australian Grand Prix,hamilton,0.4545454545454545,0.16666666666666669,0.0,0.38953908152128286
34,0.0,0.0,Australian Grand Prix,alguersuari,0.4415584415584415,0.3333333333333334,0.0,0.44241457476282425
35,0.0,0.0,Australian Grand Prix,petrov,0.4545454545454545,0.16666666666666669,0.0,0.4312484258248677
36,0.0,0.0,Australian Grand Prix,resta,0.4545454545454545,0.16666666666666669,0.0,0.40856351271933505
37,0.0,0.0,Australian Grand Prix,button,0.46753246753246747,0.3333333333333334,0.0,0.38084123919066404
38,0.0,0.0,Australian Grand Prix,sutil,0.46753246753246747,0.16666666666666669,0.0,0.40082276886911256
39,0.0,0.0,Australian Grand Prix,trulli,0.46753246753246747,0.16666666666666669,0.0,0.41722777264713284
40,0.0,0.0,Australian Grand Prix,ambrosio,0.48051948051948046,0.16666666666666669,0.0,0.44406011250104943
41,0.0,0.0,Australian Grand Prix,webber,0.5194805194805194,0.3333333333333334,0.0,0.4404332129963898
42,0.0,0.0,Australian Grand Prix,barrichello,0.5064935064935064,0.5000000000000001,0.0,0.44175971790781626
43,0.0,0.0,Australian Grand Prix,alonso,0.5324675324675324,0.3333333333333334,0.0,0.40602804130635545
44,0.0,0.0,Australian Grand Prix,massa,0.6103896103896103,0.3333333333333334,0.0,0.40458399798505573
45,0.0,0.04761904761904763,Malaysian Grand Prix,sutil,0.025974025974025965,0.0,0.0,0.5321803375031483
46,0.0,0.04761904761904763,Malaysian Grand Prix,barrichello,0.025974025974025965,0.0,0.0,0.5537402401141801
47,0.0,0.04761904761904763,Malaysian Grand Prix,webber,0.11688311688311687,0.0,0.0,0.3790109982369238
48,0.0,0.04761904761904763,Malaysian Grand Prix,resta,0.12987012987012986,0.0,0.0,0.38238602972042646
49,0.0,0.04761904761904763,Malaysian Grand Prix,hamilton,0.14285714285714282,0.0,0.0,0.3786751742087146
50,0.0,0.04761904761904763,Malaysian Grand Prix,vettel,0.1558441558441558,0.0,0.0,0.38651666526739986
